Step,Random,Autonomous
0,0.2,0.2
1,0.2,0.2
2,0.2,0.2
3,0.2,0.2
4,0.2,0.2
5,0.2,0.4
6,0.2,0.4
7,0.2,0.0
8,0.2,0.4
9,0.4,0.2
10,0.2,0.6
11,0.2,0.0
12,0.2,0.2
13,0.2,0.2
14,0.2,0.4
15,0.2,0.0
16,0.2,0.2
17,0.2,0.2
18,0.2,0.2
19,0.2,0.2
20,0.2,0.2
21,0.2,0.2
22,0.2,0.4
23,0.4,0.2
24,0.2,0.0
25,0.2,0.2
26,0.6,0.4
27,0.2,0.2
28,0.0,0.0
29,0.2,0.4
30,0.0,0.0
31,0.0,0.0
32,0.2,0.2
33,0.4,0.2
34,0.4,0.2
35,0.2,0.2
36,0.2,0.0
37,0.2,0.4
38,0.4,0.2
39,0.2,0.4
40,0.2,0.0
41,0.4,0.2
42,0.4,0.2
43,0.2,0.2
44,0.2,0.0
45,0.2,0.0
46,0.2,0.2
47,0.4,0.4
48,0.0,0.2
49,0.2,0.2
50,0.4,0.2
51,0.0,0.4
52,0.2,0.2
53,0.2,0.2
54,0.2,0.0
55,0.4,0.4
56,0.0,0.0
57,0.2,0.0
58,0.2,0.0
59,0.0,0.2
60,0.2,0.2
61,0.2,0.4
62,0.2,0.2
63,0.2,0.2
64,0.2,0.4
65,0.2,0.2
66,0.2,0.2
67,0.0,0.2
68,0.2,0.4
69,0.0,0.0
70,0.2,0.2
71,0.4,0.2
72,0.4,0.2
73,0.2,0.2
74,0.2,0.0
75,0.2,0.2
76,0.2,0.2
77,0.4,0.0
78,0.4,0.4
79,0.6,0.2
80,0.2,0.4
81,0.0,0.2
82,0.2,0.2
83,0.0,0.0
84,0.2,0.2
85,0.2,0.6
86,0.2,0.2
87,0.2,0.2
88,0.2,0.4
89,0.2,0.0
90,0.0,0.2
91,0.4,0.0
92,0.2,0.6
93,0.2,0.0
94,0.2,0.4
95,0.0,0.2
96,0.0,0.0
97,0.2,0.2
98,0.2,0.4
99,0.2,0.2
100,0.4,0.4
101,0.2,0.0
102,0.4,0.2
103,0.2,0.0
104,0.2,0.0
105,0.2,0.0
106,0.2,0.0
107,0.4,0.2
108,0.2,0.0
109,0.2,0.2
110,0.2,0.4
111,0.2,0.0
112,0.2,0.2
113,0.2,0.0
114,0.2,0.2
115,0.2,0.2
116,0.0,0.2
117,0.2,0.2
118,0.2,0.2
119,0.0,0.4
120,0.4,0.2
121,0.2,0.4
122,0.2,0.2
123,0.0,0.2
124,0.0,0.4
125,0.0,0.2
126,0.2,0.2
127,0.2,0.2
128,0.2,0.0
129,0.4,0.4
